recipe_id,recipe_name,ingredients,steps
1,감자 짜글이,"감자,양파,대파,삼겹살,김치,마늘,두부","1. 감자, 양파, 김치, 삼겹살, 두부를 썰어 냄비에 담는다./n2. 물을 자작하게 붓고 다진 마늘, 고춧가루 등 양념을 넣는다./n3. 감자가 익을 때까지 끓이고 대파를 올려 마무리한다."
2,김치볶음밥,"김치,밥,양파,계란,삼겹살",1. 삼겹살과 양파를 썰어 볶는다./n2. 김치를 넣고 볶다가 밥을 넣고 섞는다./n3. 간장 등으로 간을 맞추고 그릇에 담아 계란 프라이를 얹는다.
3,계란 토스트,"계란,빵,우유,치즈",1. 계란과 우유를 섞어 계란물을 만든다./n2. 빵을 계란물에 적신다./n3. 팬에 버터를 녹이고 빵을 구우며 치즈를 올려 녹인다.
4,닭가슴살 볶음밥,"닭고기,밥,당근,양파,계란","1. 닭고기, 당근, 양파를 작게 썰어 볶는다./n2. 밥을 넣고 간장, 소금 등으로 간을 맞춘다./n3. 계란 스크램블을 만들어 곁들이거나 볶음밥에 함께 섞는다."
5,간단 마파두부,"두부,삼겹살,양파,대파,마늘","1. 삼겹살을 다지듯 썰어 볶다가 다진 마늘과 양파를 넣고 볶는다./n2. 물을 붓고 두부를 넣는다./n3. 두반장, 간장 등으로 간을 맞추고 전분물로 농도를 맞춘 뒤 대파를 올린다."
6,감자 당근 카레,"감자,당근,양파,소고기,버섯","1. 감자, 당근, 양파, 소고기, 버섯을 썰어 볶는다./n2. 물을 붓고 끓이다가 재료가 익으면 카레 가루를 넣고 풀어준다./n3. 약불에서 저어가며 농도를 맞춘다."
7,오징어 볶음,"오징어,양파,대파,당근","1. 오징어와 양파, 당근을 먹기 좋게 썰고 대파는 어슷 썬다./n2. 팬에 고추장, 간장, 마늘 등 양념과 오징어, 야채를 넣고 볶는다./n3. 오징어가 익고 양념이 잘 배도록 볶아 마무리한다."
8,소고기 무국,"소고기,대파,마늘",1. 소고기는 얇게 썰어 참기름에 볶다가 물을 붓는다. (무 대신 물과 육수로 대체하여 재료 겹침 최소화)/n2. 국간장으로 간을 맞추고 다진 마늘과 대파를 넣어 마무리한다.
9,브로콜리 새우 볶음,"브로콜리,새우,마늘,양파","1. 브로콜리는 데치고, 새우는 해동한다./n2. 팬에 마늘을 볶아 향을 내고 양파와 새우를 넣고 볶는다./n3. 새우가 익으면 브로콜리를 넣고 굴 소스로 간을 맞춘다."
10,가지 덮밥,"가지,삼겹살,마늘,양파,밥","1. 가지, 삼겹살, 양파를 썰고 마늘은 다진다./n2. 팬에 마늘과 삼겹살을 볶다가 가지와 양파를 넣는다./n3. 간장, 굴 소스 등으로 간을 맞추고 밥 위에 올려 덮밥으로 만든다."
