,index,종류별,상황별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그,해시태그_수정,재료별_소고기,재료별_돼지고기,재료별_닭고기,재료별_육류,재료별_채소류,재료별_해물류,재료별_달걀/유제품,재료별_쌀,재료별_밀가루,재료별_건어물류,재료별_버섯류,재료별_과일류,재료별_곡류,방법별_볶음,방법별_끓이기,방법별_부침,방법별_조림,방법별_무침,방법별_비빔,방법별_찜,방법별_절임,방법별_튀김,방법별_삶기,방법별_굽기,방법별_회,cluster_label
0,1,밑반찬,일상,차돌박이떡볶음으로 즐기는 특별한요리,https://www.10000recipe.com/recipe/7039774,0.08560329719704088,,0.0,0.0,,"['떡국떡', '차돌박이', '새송이버섯', '대파', '청양고추', '진간장', '설탕', '굴소스']",달콤하고 짭조름한 맛이 일품인 차돌박이 떡볶음입니다. 매운 거 못 드시는 분들은 한번 만들어 보세요.,"['떡국떡은 물에 10분 정도 불린다. 볼', '차돌박이를 준비한다.', '새송이버섯은 2~4등분으로 잘라 삼각형 모양으로 자른다. 도마 , 조리용나이프', '대파는 어슷 썬다. 대파 손질법', '청양고추는 어슷 썬다.', '불린 떡국떡은 물기를 제거한다. 채반', '팬에 기름 없이 차돌박이를 센 불로 볶는다. 볶음팬 , 요리집게', '차돌박이가 절반 정도 익으면 차돌박이는 건져낸다.', '차돌박이 기름에 떡국떡, 야채를 넣고 중불로 볶는다. 조리용스푼', '야채가 절반 익으면 새송이버섯, 진간장, 설탕, 굴소스를 넣고 센 불로 볶는다.', '모든 재료가 익으면 차돌박이를 넣고 센 불로 볶는다.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118
1,2,밑반찬,일상,소고기두부볶음 - 아이들 반찬/이유식 반찬으로도 최고죠~옛생각이 절로...,https://www.10000recipe.com/recipe/6854979,-0.7367356233505586,,0.0,0.0,,"['두부', '다진소고기', '다진소고기', '맛술', '간장', '설탕', '참기름', '다진마늘', '다진파', '후추', '들기름', '올리브유']",이제 슬슬 기온이 떨어지려나봐요. 아직 한낮에는 덥지만...아침저녁이라도 선선하게~~ 슬슬 반찬도 부지런히 해먹어야겠죠??ㅎㅎㅎㅎㅎㅎ 연휴의 끝과 함께 냉장고 반찬도 끝이 났어요. 일단....장보기는 싫고~~냉파냉파~~ 두부와 소고기가 있으니...소고기두부볶음을 했죠~ 아이들도 잘먹는 훌륭한 반찬!!!,"['다진소고기는 140그람이 있어서 준비. 뭐~~더 많이 넣으셔도 됩니다.', '소고기는 밑간해주세요. 다진소고기140그람, 맛술1/2큰술, 간장1큰술, 설탕1/3큰술,참기름1큰술, 다진마늘1/2큰술, 다진파1큰술, 후추톡톡톡 간장과 설탕의 양은 조절하세요. 간장에따라..설탕에따라 짠맛단맛이 천차만별... ^^', '두부는 깍뚝깍뚝 썰어서 키친타올에서 물기좀 제거해주세요. 그래야 더 단단하게 부쳐집니다.', '물기 제거한 두부는 들기름반...올리브유 반... 두르고 노릇노릇 부쳐주세요.', '노릇노릇 부친 두부는 한켠으로 밀어내고.', '밑간해둔 다진소고기를 볶아 줍니다. 번거로움을 줄이기위함. 잔머리 딩굴딩굴~~', '고기가 다 볶아지면... 고루 섞어내주면 되지요~~ 두부랑 섞어요~~ 섞어서 휙~볶아주고 끝!! 쉽죠~ 맛있죠~']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,167
2,3,밑반찬,일상,새송이버섯소고기볶음 끼니마다 가족들이 이것만 찾아요~ ‼️,https://www.10000recipe.com/recipe/7010976,-0.7440299461752106,,0.0,0.0,,"['새송이버섯', '국거리소고기', '양파', '대파', '청양고추', '진간장', '참기름', '참치액젓', '설탕', '물엿', '후추', '다진마늘']",새송이버섯과 소고기를 볶아보세요~! 정말 맛있습니다 ^^,"['소고기 150g 진간장 1큰술, 참기름 1큰술 넣어 조물조물 밑간합니다. 볼', '새송이버섯4개 일정한 두께로 썰은 후 끓는물에 20초간 데쳐요 데친 버섯은 찬물에 헹궈 물기를 꼬옥 짜주세요 냄비', '팬에 기름을 살짝 두른 후 소고기 넣어 볶아요 추가로 양파 넣어 볶아주세요 프라이팬', '참치액젓 1큰술 넣어 볶다가, 설탕 1/2큰술 넣어 볶아줘요 프라이팬 , 요리용스푼', '새송이버섯을 넣어 볶다가 청양고추2개 어슷썰어 넣어줍니다 물엿 1큰술 넣어 잘 볶아준 뒤 프라이팬 , 요리용스푼', '어슷썬대파, 다진마늘 1큰술, 후추 톡톡 넣어 볶아주면 완성입니다 프라이팬 , 요리용스푼']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81
3,4,밑반찬,일상,"볶음밥, 주먹밥 어디든 잘 어울리는 '만능 소고기볶음'",https://www.10000recipe.com/recipe/6947579,-0.7421103875371443,,0.0,0.0,,"['소고기', '다진마늘', '진간장', '맛술', '설탕', '후추', '참기름', '통깨']","볶음밥에 넣어도 맛있고 김밥, 주먹밥에 넣으면 더 맛있는~ 만능 소고기볶음이랍니다^~^ 반찬을 만들때 넣어도 맛있더라구요! 정말 만능이에요~!!!","['식용유를 두르고 소고기, 다진마늘을 넣어 볶아줍니다. 중불 타지 않도록 잘 볶아 주세요.', '소고기가 익으면 양념 재료들을 넣고 볶아줍니다. 중강불 양념이 다 쫄을 때 까지 볶아주세요~', '수분이 사라지면 통깨를 넣고 한 번 더 볶아줍니다.', '완성~!!ㅎㅎ 정말 간단하죠? 그대로 반찬으로 먹어도 좋고 주먹밥, 김밥에 넣어 먹으면 더 좋은~ 만능 소고기 볶음 완성이랍니다.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
4,5,밑반찬,일상,밥에 넣고 비벼먹어도 맛있는 소고기오이볶음,https://www.10000recipe.com/recipe/6833523,-0.7436460344475974,,0.0,0.0,,"['오이', '소고기', '간장', '통깨', '소금', '오일', '굵은소금', '소금', '간장', '설탕', '청주', '다진마늘', '참기름', '후춧가루']",갓 지은 따스한 밥 위에 올려 쓱쓱 비벼먹어도 맛있는 소고기오이볶음이에요. 저희집에서는 밥 도둑으로 불린답니다.,"['오이는 굵은 소금을 이용해 겉을 비벼가며 씻어 물기를 제거한뒤, 동글동글 썰어 소금1/2작은술을 넣고 절여주세요. (10분) 절여진 오이는 가볍게 짜주세요.', '소고기에는 분량의 재료대로 양념들을 넣고 밑간해주세요.', '달구어진 팬에 오일을 두르고, 오이를 넣고 볶아주세요.', '밑간해둔 소고기를 넣고 볶아주세요.', '간장과 소금으로 간을 해준뒤 통깨를 넣고 센불에서 휘리릭 볶아주세요.', '요거요거 은근 밥도둑이에요. 저희집은 요렇게 만들어 식탁위에 올리면 바로바로 없어진다지요.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243
5,6,밑반찬,일상,진정한 밥도둑 소고기 볶음 고추장,https://www.10000recipe.com/recipe/6838094,-0.7328965060744261,,0.0,0.0,,"['갈은 소고기', '양파', '고추장', '다진 마늘', '후추', '간장', '설탕', '참기름', '물엿']",매콤달콤한 밥도둑 !! 맛잇는 소고기 볶음 고추장이예요. ^_^,"['넉넉한 크기의 그릇에 갈은 소고기와 다진마늘, 간장, 설탕, 후추를 넣고 잘 섞어주세요. 그리고 고기를 양념에 재운다 생각하시고 잠시 옆에 놔두고 STEP2로 넘어갑니다.', '양파는 잘게 썰어주신후에 후라이팬에 참기름을 붓고 양파가 완전히 익을때까지 잘 볶아주세요.', '양파가 다 익으면 소스에 재워놨던 고기를 후라이팬에 넣고 고기가 다 익을때까지 볶아줍니다. 고기가 다 익으면 불을 약불로 낮춰주신후에 고추장을 넣고 잘 섞어주시면서 고추장이 고기에 잘 스며들게 볶아주세요.', '마지막으로 물엿을 넣고 20~30초 정도만 더 볶아주세요. 물엿이 없으면 설탕을 넣으셔도 되고, 맛 보시고 더 달지 않아도 되겠다 싶으면 넣지 않으셔도 됩니다.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
6,7,밑반찬,일상,오이소고기볶음,https://www.10000recipe.com/recipe/6830816,-0.7440299461752106,,0.0,0.0,,"['오이', '소고기', '참기름', '깨소금', '식용유', '간장', '설탕', '다진마늘', '참기름', '깨소금', '소금']","간단하면서 고기와 야채가 함께 들어간 반찬이라~ 좋아요. 바쁜 아침에도 저녁에도, 시간이 없을때도 후딱 할 수 있는 아이반찬이랍니다.","['먼저 오이를 깨끗하게 씻고 필러로 껍질을 깎아주고 준비해둡니다.', '소고기도 채 썰어야하는데요. 저는 살때 잡채용으로 해서 채 썰어서 사 와서 그대로 씁니다.', '오이돌려깍기를 해서 채를 썰어서 소금을 약간 뿌려서 약 10분정도 재워 둡니다. 요렇게 재워두면 물이 생기니까 볶을때는 물기를 꼭 짜서 넣어요.', '소고기 밑간 ( 간장 1, 설탕, 다진마늘, 참기름, 깨소금 1/2큰술, 소금 약간) 을 넣고 잠시 재어 둡니다.', '소고기 밑간 ( 간장 1, 설탕, 다진마늘, 참기름, 깨소금 1/2큰술, 소금 약간) 을 넣고 잠시 재어 둡니다.', '소고기 밑간 ( 간장 1, 설탕, 다진마늘, 참기름, 깨소금 1/2큰술, 소금 약간) 을 넣고 잠시 재어 둡니다.', '팬에 식용유를 약간 두르고 미리 밑간을 해 둔 소고기를 볶아요.', '소고기가 거의 다 익으면 이때 절여둔 오이를 넣습니다', '소고기가 거의 다 익으면 이때 절여둔 오이를 넣습니다', '빠르게 빠르게 볶아 냅니다. 마지막에 참기름과 깨소금을 약간 넣어주면 끝~', '오이소고기볶음 완성입니다.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54
7,8,밑반찬,일상,소고기소보로 정말 쉬운데 진짜 만능이랍니다,https://www.10000recipe.com/recipe/7014075,2.7249964245381926,,0.0,0.0,,"['소고기', '간장', '매실액', '맛술', '올리고당', '후추', '다진마늘', '참기름', '통깨']",집집마다 냉장고에 꼭 있어야 되는 반찬들이 있잖아요? 아이들부터 온 가족이 좋아하는 소고기소보로 만들어 두시면 밥걱정 끝이랍니다,"['1. 소고기다짐육에 간장, 매실액, 맛술, 올리고당, 후추, 다진마늘을 넣어서 잘섞어준 다음, 30분 정도 양념이 잘 밸수있도록 재워주세요. 볼', '2. 강불에 다짐육을 전부 넣고 볶아주다보면 수분이 많이 나오는데 졸이듯이 수분이 없어질때까지 볶아주세요. 볶음팬 , 요리스푼', '3. 마지막으로 참기름, 통깨 넣어서 볶아주면 끝! 주먹밥,김밥,떡국,비빔밥, 빵에 넣어도 맛있고 아이들 밥에 슥슥 비벼줘도 잘먹습니다.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80
8,9,밑반찬,일상,tv 만물상 소고기 오이볶음,https://www.10000recipe.com/recipe/6894477,2.4293843942759836,,0.0,0.0,,"['오이', '한우 소고기', '홍고추', '청양고추', '소금', '설탕', '들기름', '깨소금', '후추', '간장', '참기름', '다진마늘']",tv 만물상에 소개된 소고기 오이볶음 레시피를 활용해서 만들었습니다. 오이의 아삭함에 소고기를 곁들여 맛과 영양을 고루 갖춘 맛있는 반찬인것 같습니다.손님상에 내어도 좋을것 같습니다.,"['오이는 양끝을 잘라내고 얇게 썰은후 소금 1작은술과 설탕 1/2큰술에 재워주세요 (20분정도)', '절인오이는 물기를 꼭짠후 달군팬에 기름없이 볶다가 들기름 1큰술을 넣고 재빨리 볶아주세요 (센불에서1분 정도)', '접시에 고루 펴서 식혀주세요', '소고기는 얇게 채썰어 준후 양념을 해주세요', '팬을 달군후 소고기를 넣고 볶아주세요(센불에서 1분정도)', '접시에 고루 펴준후 식혀주세요', '오이와 소고기를 섞어준후 깨소금', '홍고추.청양고추다진것을 넣고,후추도 뿌리고 섞어주세요.', '완성그릇에 담아주세요.']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120
9,10,밑반찬,일상,"소고기가지볶음, 소고기가 들어가 더 맛있어 ♪",https://www.10000recipe.com/recipe/6875071,-0.7436460344475974,,0.0,0.0,,"['가지', '양파', '소고기다짐육', '식용유', '설탕', '굴소스', '통깨']",소고기가 들어가 더욱 맛있는 소고기 가지볶음이예요~ http://blog.naver.com/qw3859,"['가지와 양파는 깨끗이 씻어서', '반으로 갈라 어슷 썰어주세요', '팬에 식용유 살짝 둘러주고 소고기 익을때까지 맛있게~ 볶아주세요옹 ^^', '소고기가 어느정도 익었다 싶을때 썰어두었던 가지와 양파를 넣고 같이 볶아주세요', '가지가 살짝 익었을때 설탕을 1큰술 넣고 볶아주세요~', '가지가 어느정도 익을때까지 볶아주시면 되요 약간 흐물거린다 싶을정도로 볶아주시면 될것같아요~', '가지가 어느정도 익었다 싶었을쯤 굴소스 1큰술을 더 넣고 양념이 어우러질정도록 휘리릭 볶아주시면 소고기가지볶음 완성 !']",,[],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,226
